customer_id,customer_name,documento,segmento,pais,estado,cidade,created_at
C001,Moraes Ltda.,93.721.408/0001-33,Financeiro,Brasil,RS,das Neves,2022-11-19 19:41:33.009156+00:00
C002,Lopes da Mata S.A.,62.317.450/0001-60,Indústria,Brasil,PA,Teixeira de Sampaio,2024-03-27 13:40:54.766519+00:00
C003,Silveira Borges e Filhos,18.756.402/0001-86,Varejo,Brasil,AL,da Rocha,2023-11-23 12:29:58.750642+00:00
C004,Alves,18.673.902/0001-54,Financeiro,Alemanha,MT,Caldeira,2024-01-15 19:09:50.663824+00:00
C005,Montenegro Novais Ltda.,01.239.574/0001-80,Tecnologia,Brasil,GO,Silva,2024-06-22 00:29:15.801175+00:00
C006,da Mota,29.308.476/0001-76,Tecnologia,Estados Unidos,SE,Albuquerque do Sul,2024-08-09 07:06:40.664807+00:00
C007,Santos - ME,21.054.869/0001-99,Financeiro,Brasil,PR,Fogaça,2024-08-03 22:20:15.466591+00:00
C008,Rodrigues Pastor Ltda.,21.509.836/0001-96,Financeiro,Brasil,SE,Monteiro,2024-01-13 13:35:53.169753+00:00
C009,Ramos e Filhos,64.873.219/0001-88,Varejo,Alemanha,DF,Cardoso da Praia,2023-05-19 22:46:58.911505+00:00
C010,Rocha,74.925.108/0001-21,Tecnologia,Brasil,RN,Costela,2024-05-14 03:12:34.059788+00:00
